2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
2022-09-27 09:31:00 , 283.85 , 284.9 , 283.27 , 284.375
